date,open,high,low,close,volume,symbol
2023-07-07,625.15,630.0,621.0,622.45,98304.0,LICI.BSE
2023-07-06,624.3,630.95,624.3,628.05,74327.0,LICI.BSE
2023-07-05,625.05,629.0,624.9,626.95,51750.0,LICI.BSE
2023-07-04,629.25,632.65,624.05,625.8,43685.0,LICI.BSE
2023-07-03,635.0,638.0,627.6,628.7,142195.0,LICI.BSE
2023-06-30,621.5,633.5,620.65,632.3,75667.0,LICI.BSE
2023-06-28,617.1,622.4,615.0,619.65,64944.0,LICI.BSE
2023-06-27,616.0,620.65,611.1,616.75,98507.0,LICI.BSE
2023-06-26,624.85,625.45,613.4,616.4,59637.0,LICI.BSE
2023-06-23,642.55,646.25,622.95,624.85,201824.0,LICI.BSE
2023-06-22,636.55,653.75,636.55,641.9,413026.0,LICI.BSE
2023-06-21,634.85,640.0,632.9,636.25,266976.0,LICI.BSE
2023-06-20,619.0,632.55,619.0,630.45,360292.0,LICI.BSE
2023-06-19,604.05,620.95,603.7,618.3,318333.0,LICI.BSE
2023-06-16,595.3,606.5,595.3,604.5,205132.0,LICI.BSE
2023-06-15,596.0,604.85,595.6,596.6,43285.0,LICI.BSE
2023-06-14,599.2,601.65,595.25,595.8,32750.0,LICI.BSE
2023-06-13,597.25,600.7,597.25,598.75,70246.0,LICI.BSE
2023-06-12,598.15,601.5,595.15,597.25,49583.0,LICI.BSE
2023-06-09,604.55,607.0,600.05,601.75,97182.0,LICI.BSE
2023-06-08,601.25,610.4,601.25,603.7,94442.0,LICI.BSE
2023-06-07,597.75,605.05,597.7,601.25,37788.0,LICI.BSE
2023-06-06,599.95,599.95,596.0,597.7,78799.0,LICI.BSE
2023-06-05,597.05,602.0,596.0,596.6,30306.0,LICI.BSE
2023-06-02,597.6,601.2,596.0,596.55,83764.0,LICI.BSE
2023-06-01,594.9,600.7,594.0,597.55,42606.0,LICI.BSE
2023-05-31,600.0,600.0,593.0,594.9,128273.0,LICI.BSE
2023-05-30,605.0,605.95,599.0,600.95,112940.0,LICI.BSE
2023-05-29,609.0,610.0,603.35,605.3,72495.0,LICI.BSE
2023-05-26,608.0,610.2,603.3,604.05,172025.0,LICI.BSE
2023-05-25,604.0,615.65,600.95,603.6,255108.0,LICI.BSE
2023-05-24,591.1,604.0,591.1,593.55,150870.0,LICI.BSE
2023-05-23,580.05,594.5,580.05,589.95,135204.0,LICI.BSE
2023-05-22,567.25,579.25,566.9,577.3,74218.0,LICI.BSE
2023-05-19,569.0,570.0,562.2,564.95,80961.0,LICI.BSE
2023-05-18,571.0,576.9,566.75,568.4,129314.0,LICI.BSE
2023-05-17,567.15,570.85,565.95,570.1,38130.0,LICI.BSE
2023-05-16,568.2,574.4,566.2,567.4,128141.0,LICI.BSE
2023-05-15,562.6,573.0,561.35,567.95,213659.0,LICI.BSE
2023-05-12,560.0,564.25,557.55,562.1,54907.0,LICI.BSE
2023-05-11,560.0,563.45,559.0,560.55,38202.0,LICI.BSE
2023-05-10,557.5,561.0,555.3,557.75,92296.0,LICI.BSE
2023-05-09,564.0,565.5,556.0,557.35,56986.0,LICI.BSE
2023-05-08,561.25,566.8,561.25,562.6,153135.0,LICI.BSE
2023-05-05,552.0,565.0,551.55,560.1,348894.0,LICI.BSE
2023-05-04,551.0,566.45,549.25,552.5,153578.0,LICI.BSE
2023-05-03,550.0,552.9,550.0,551.3,115300.0,LICI.BSE
